Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",3.88,50079916.6,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.21,31326500.44,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.302,17711400.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.95,60687045.9,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",19.28,1240048282.96,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4035,45857832.1695,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),17.9,154816974.7,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,45.85,1170789470.2,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.28,454999483.12,62499929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",36.55,2305530797.9,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",10.93,33883000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",85.44,3050641095.36,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.904,73561960.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.5,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,
